,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
237,NCR,NCR,NCR,MSM,MSM,MTX,NCR,MUSA,NNN,NNN,NKTR,NSA
238,NDN,NDSN,NDSN,MTD,MTD,MUSA,NDSN,NATI,NTCT,NTCT,NNN,NSP
239,NDSN,NEU,NEU,MTX,MTX,NATI,NE,NBR,NUS,NUS,NSP,NUS
240,NEU,NFG,NFG,MUSA,MUSA,NBR,NEU,NCR,NUVA,NUVA,NTCT,NUVA
241,NFG,NHP,NHP,MWW,MWW,NCR,NFG,NDSN,NVR,NVR,NUS,NVST
242,NHP,NSR,NSR,NATI,NATI,NDSN,NJR,NEU,NVT,NVT,NUVA,NVT
243,NSR,NST,NST,NCR,NCR,NEU,NNN,NFG,NWE,NWE,NVT,NWE
244,NST,NVE,NVE,NDSN,NDSN,NFG,NSR,NJR,NYCB,NYCB,NWE,NYCB
245,NVE,NVR,NVR,NEU,NEU,NNN,NTCT,NNN,NYT,NYT,NYCB,NYT
246,NVR,NYB,NYB,NFG,NFG,NSR,NUVA,NTCT,OAS,OAS,NYT,OC
247,NYB,NYT,NYT,NNN,NNN,NVR,NVR,NUS,ODFL,ODFL,OC,OFC
248,NYT,O,O,NSR,NSR,NYCB,NWE,NUVA,ODP,ODP,OFC,OGE
249,O,OCR,OCR,NVE,NVE,NYT,NYCB,NVR,OFC,OFC,OGE,OGS
250,OCR,ODP,ODP,NVR,NVR,OA,NYT,NWE,OGE,OGE,OGS,OHI
251,ODP,OFC,OFC,NYCB,NYCB,OCR,OA,NYCB,OGS,OGS,OHI,OLED
252,OFC,OGE,OGE,NYT,NYT,ODFL,ODFL,NYT,OHI,OHI,OI,OLLI
253,OGE,OHI,OHI,O,O,ODP,ODP,OA,OI,OI,OLED,OLN
254,OHI,OII,OII,OCR,OCR,OFC,OFC,ODFL,OII,OII,OLLI,OMCL
255,OII,OLN,OLN,ODP,ODP,OGE,OGE,ODP,OLLI,OLLI,OLN,ONB
256,OLN,OMI,OMI,OFC,OFC,OGS,OGS,OFC,OLN,OLN,ORI,OPCH
257,OMI,ORI,ORI,OGE,OGE,OHI,OHI,OGE,ORI,ORI,OSK,ORA
258,ORI,OSG,OSG,OHI,OHI,OII,OI,OGS,OSK,OSK,OZK,ORI
259,OSG,OSK,OSK,OII,OII,OIS,OII,OHI,OZK,OZK,PACW,OSK
260,OSK,PACW,PACW,OIS,OIS,OLN,OIS,OI,PACW,PACW,PB,OZK
261,PACW,PCH,PCH,OLN,OLN,OMI,OLN,OII,PB,PB,PBH,PACW
262,PCH,PCX,PCX,OMI,OMI,ORI,OMI,OLN,PBF,PBF,PCH,PB
263,PCX,PDE,PDE,ORI,ORI,OSK,ORI,OMI,PBH,PBH,PCTY,PCH
